"No.","Time","Source","Destination","Protocol","Length","Info"
"35","31.233244557","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50206  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44593345 TSecr=0 WS=128"
"36","32.033459799","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50208  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44594145 TSecr=0 WS=128"
"37","36.098138119","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50208  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44598210 TSecr=0 WS=128"
"38","36.354518324","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 38576  >  5566 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44598466 TSecr=0 WS=128"
"39","39.027087791","192.168.10.3","192.168.10.1","DNS","114","Standard query 0xab44 AAAA firefox.settings.services.mozilla.com.mail.redmail.com"
"40","39.027329557","192.168.10.3","192.168.10.1","DNS","114","Standard query 0xb915 A firefox.settings.services.mozilla.com.mail.redmail.com"
"41","39.027570522","192.168.10.3","192.168.10.1","TCP","78","50210  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44601139 TSecr=0 WS=128 TFO=R"
"42","40.033981552","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50210  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44602145 TSecr=0 WS=128"
"43","42.050841425","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50210  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44604162 TSecr=0 WS=128"
"44","44.033038604","192.168.10.3","192.168.10.1","DNS","114","Standard query 0xb915 A firefox.settings.services.mozilla.com.mail.redmail.com"
"45","44.034083373","192.168.10.3","192.168.10.1","DNS","114","Standard query 0xab44 AAAA firefox.settings.services.mozilla.com.mail.redmail.com"
"46","44.035878332","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"47","45.065557352","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"48","46.082944662","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50210  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44608193 TSecr=0 WS=128"
"49","46.089980083","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"50","47.234093786","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"51","48.265018699","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"52","49.045843005","192.168.10.3","192.168.10.1","TCP","78","50214  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44611157 TSecr=0 WS=128 TFO=R"
"53","49.289273707","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"54","49.795142943","192.168.10.10","192.168.10.1","DHCP","324","DHCP Request  - Transaction ID 0xdc986542"
"55","49.797212717","192.168.10.1","192.168.10.10","DHCP","342","DHCP ACK      - Transaction ID 0xdc986542"
"56","50.082608497","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50214  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44612193 TSecr=0 WS=128"
"57","50.433063879","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"58","51.465579514","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"59","52.098653984","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 50214  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44614209 TSecr=0 WS=128"
"60","52.482725970","192.168.10.3","192.168.10.1","TCP","74","[TCP Retransmission] 38576  >  5566 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=44614593 TSecr=0 WS=128"
"61","52.489300372","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"62","53.633337991","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"63","54.274884413","VMware_5e:72:a2","VMware_71:a8:f0","ARP","60","Who has 192.168.10.1? Tell 192.168.10.3"
"64","54.276115293","VMware_71:a8:f0","VMware_5e:72:a2","ARP","60","192.168.10.1 is at 00:0c:29:71:a8:f0"
"65","54.665219412","VMware_71:a8:f0","Broadcast","ARP","60","Who has 192.168.10.254? Tell 192.168.10.1"
"66","54.921813939","VMware_71:a8:f0","VMware_b3:2c:b1","ARP","60","Who has 192.168.10.10? Tell 192.168.10.1"
"67","54.921837560","VMware_b3:2c:b1","VMware_71:a8:f0","ARP","42","192.168.10.10 is at 00:0c:29:b3:2c:b1"
"68","54.939927327","VMware_b3:2c:b1","VMware_71:a8:f0","ARP","42","Who has 192.168.10.1? Tell 192.168.10.10"
"69","54.940585816","VMware_71:a8:f0","VMware_b3:2c:b1","ARP","60","192.168.10.1 is at 00:0c:29:71:a8:f0"
